neighbourhood_group_cleansed,property_type,room_type,bathrooms_text,host_is_superhost,accommodates,bedrooms,beds,number_of_reviews,price
8.0,11.0,0.0,2.0,-0.47011540719590833,0.35222614833351445,0.38409849662360834,-0.2076237920440117,0.06577415207905114,2.1367205671564067
1.0,11.0,0.0,2.0,-0.47011540719590833,0.35222614833351445,-0.7724821737537657,-0.2076237920440117,-0.15155419050475297,2.392696953259666
1.0,11.0,0.0,5.0,-0.47011540719590833,2.54411961520188,2.6972598373783567,3.0347765505456485,-0.35680873627834575,1.9822712330395684
0.0,28.0,2.0,3.0,2.1271372618155353,-1.2916939518177595,-0.7724821737537657,-0.8561038605619438,-0.1274065968843303,1.7781512503836436
8.0,30.0,2.0,4.0,2.1271372618155353,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,0.12614313613010783,1.6020599913279623
9.0,11.0,0.0,8.0,-0.47011540719590833,0.35222614833351445,0.38409849662360834,-0.2076237920440117,-0.5258418916213045,2.041392685158225
0.0,25.0,2.0,3.0,-0.47011540719590833,-0.19574721838357684,0.38409849662360834,-0.2076237920440117,0.9954565064653242,1.8129133566428555
4.0,30.0,2.0,3.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.2076237920440117,0.5366522276772934,1.591064607026499
1.0,11.0,0.0,2.0,2.1271372618155353,0.35222614833351445,0.38409849662360834,0.4408562764739203,-0.018742425592428235,2.4668676203541096
8.0,11.0,0.0,2.0,2.1271372618155353,0.35222614833351445,0.38409849662360834,-0.2076237920440117,1.4421869884431437,1.8976270912904414
0.0,30.0,2.0,8.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,2.0941720161945563,1.6989700043360187
8.0,11.0,0.0,2.0,-0.47011540719590833,0.35222614833351445,0.38409849662360834,0.4408562764739203,-0.1636279873149643,2.0718820073061255
7.0,11.0,0.0,8.0,-0.47011540719590833,0.35222614833351445,0.38409849662360834,-0.2076237920440117,-0.5379156884315158,2.161368002234975
0.0,21.0,2.0,5.0,-0.47011540719590833,-0.19574721838357684,-0.7724821737537657,0.4408562764739203,-0.13948039369454163,1.8129133566428555
1.0,11.0,0.0,8.0,2.1271372618155353,1.9961462484847885,1.5406791670009825,1.7378164135097842,0.379692869144546,1.9030899869919435
1.0,21.0,2.0,4.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,-0.5379156884315158,1.7323937598229686
1.0,11.0,0.0,2.0,2.1271372618155353,1.448172881767697,0.38409849662360834,1.7378164135097842,5.535204107104788,2.0530784434834195
1.0,11.0,0.0,5.0,-0.47011540719590833,0.9001995150506058,1.5406791670009825,1.7378164135097842,-0.1032590032639076,2.45484486000851
0.0,30.0,2.0,4.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,2.057950625763922,1.6532125137753437
8.0,11.0,0.0,2.0,-0.47011540719590833,-0.19574721838357684,-0.7724821737537657,-0.2076237920440117,-0.5379156884315158,1.6989700043360187
1.0,30.0,2.0,6.0,-0.47011540719590833,-0.19574721838357684,-0.7724821737537657,-0.2076237920440117,-0.4292515171396138,1.3424226808222062
0.0,30.0,2.0,4.0,-0.47011540719590833,-1.2916939518177595,-0.7724821737537657,-0.8561038605619438,-0.5016942980008818,1.3222192947339193
6.0,30.0,2.0,4.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,-0.5258418916213045,1.6812412373755872
2.0,30.0,2.0,4.0,-0.47011540719590833,-1.2916939518177595,-0.7724821737537657,-0.8561038605619438,0.005405168027994445,1.380211241711606
7.0,11.0,0.0,2.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,-0.5379156884315158,1.5440680443502757
8.0,30.0,2.0,4.0,-0.47011540719590833,-0.7437205851006682,-0.7724821737537657,-0.8561038605619438,-0.3447349394681344,1.6812412373755872
