host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
0.0,Eixample,Entire serviced apartment,Entire home/apt,4,2 baths,2.0,3.0,206,138
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,3,59
0.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,5.0,139,228
0.0,Sants-Montjuïc,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,3,100
1.0,Gràcia,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,515,75
0.0,Eixample,Entire condo,Entire home/apt,3,1.5 baths,2.0,2.0,0,199
0.0,Eixample,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,1,17
0.0,Ciutat Vella,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,3.0,19,226
1.0,Sarrià-Sant Gervasi,Shared room in villa,Shared room,1,1 shared bath,1.0,6.0,0,20
0.0,Horta-Guinardó,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,2,16
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,0,112
0.0,Gràcia,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,17,100
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,14,36
1.0,Eixample,Entire rental unit,Entire home/apt,7,2 baths,3.0,5.0,71,199
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,14,113
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,6,3 baths,3.0,6.0,4,160
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,5,1 bath,3.0,3.0,153,95
0.0,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,2,66
0.0,Les Corts,Entire condo,Entire home/apt,6,2 baths,4.0,6.0,0,88
0.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,218,106
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,2,105
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,0,150
0.0,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,115,300
0.0,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,0,95
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,292,96
0.0,Les Corts,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,0,130
0.0,Eixample,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,5,132
0.0,Sant Martí,Entire rental unit,Entire home/apt,4,2 baths,3.0,3.0,44,291
0.0,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,0,100
0.0,Eixample,Entire rental unit,Entire home/apt,7,2 baths,4.0,4.0,68,224
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,6,63
1.0,Les Corts,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,14,30
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,2,2 baths,1.0,1.0,0,93
0.0,Gràcia,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,59,83
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,6,75
0.0,Eixample,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,3.0,0,110
0.0,Gràcia,Private room in rental unit,Private room,2,11 shared baths,1.0,1.0,0,32
0.0,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,1,92
0.0,Ciutat Vella,Private room in rental unit,Private room,5,1 private bath,2.0,4.0,161,90
0.0,Gràcia,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,75,90
1.0,Eixample,Private room in rental unit,Private room,1,2 baths,1.0,1.0,122,30
1.0,Eixample,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,74,120
0.0,Sants-Montjuïc,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,3,29
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,1,59
0.0,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,0,25
0.0,Sants-Montjuïc,Private room in loft,Private room,4,1 private bath,1.0,2.0,107,50
0.0,Eixample,Room in hotel,Private room,4,2 baths,2.0,2.0,6,112
0.0,Horta-Guinardó,Private room in home,Private room,2,1 private bath,1.0,1.0,2,61
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,3,2 baths,3.0,3.0,0,39
0.0,Ciutat Vella,Room in hotel,Private room,2,1 private bath,1.0,2.0,320,83
0.0,Eixample,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,6,20
0.0,Horta-Guinardó,Entire rental unit,Entire home/apt,5,1 bath,3.0,4.0,4,70
1.0,Eixample,Entire rental unit,Entire home/apt,5,2 baths,2.0,2.0,31,160
0.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,5,1 bath,3.0,4.0,6,103
0.0,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,10,25
0.0,Sant Martí,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,31,42
0.0,Ciutat Vella,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,5,99
0.0,Gràcia,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,3,49
0.0,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,5,100
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,419,88
0.0,Gràcia,Entire rental unit,Entire home/apt,8,1.5 baths,2.0,5.0,33,120
0.0,Gràcia,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,2.0,16,113
0.0,Eixample,Entire rental unit,Entire home/apt,4,2 baths,1.0,2.0,37,112
1.0,Sants-Montjuïc,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,120,150
0.0,Eixample,Room in boutique hotel,Private room,4,1.5 baths,1.0,3.0,2,166
1.0,Les Corts,Entire condo,Entire home/apt,5,2.5 baths,3.0,4.0,1,125
0.0,Eixample,Private room in condo,Private room,2,1 shared bath,1.0,1.0,0,50
0.0,Eixample,Private room in hostel,Private room,4,1 shared bath,1.0,4.0,12,113
0.0,Eixample,Private room in hostel,Private room,3,5 shared baths,1.0,1.0,13,72
0.0,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,251,64
0.0,Eixample,Entire rental unit,Entire home/apt,5,3 baths,3.0,5.0,11,199
0.0,Sants-Montjuïc,Entire condo,Entire home/apt,5,1 bath,2.0,4.0,24,57
1.0,Horta-Guinardó,Entire rental unit,Entire home/apt,8,3 baths,4.0,5.0,64,164
0.0,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,4.0,0,91
0.0,Eixample,Entire rental unit,Entire home/apt,6,1 bath,2.0,6.0,74,89
1.0,Eixample,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,217,40
