,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
1073,15005753,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,2,,2 baths,1.0,1.0,218,4.86,$50.00
9186,328004770,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,31,4.23,$118.00
14639,346367515,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,0,,$145.00
2123,42906962,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,3,,1.5 baths,1.0,3.0,33,4.13,$65.00
607,3744544,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,7,,2 baths,3.0,5.0,76,4.55,$80.00
15444,19791905,f,"Barcelona, Catalunya, Spain",Private room in condo,Private room,2,,1 shared bath,1.0,1.0,0,,$54.00
1000,12472530,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,1 bath,2.0,5.0,503,4.71,$113.00
1820,14580203,t,"Barcelona, Catalunya, Spain",Room in serviced apartment,Hotel room,6,,,2.0,2.0,100,4.68,$127.00
11056,4459553,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1.5 baths,3.0,5.0,36,4.42,$285.00
3173,56503135,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,215,4.31,$45.00
13712,443056621,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,0,,$50.00
14486,268526100,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,3,,1.5 shared baths,1.0,2.0,9,4.89,$22.00
13081,355345015,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,3,5.0,$21.00
2748,14304404,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,1,4.0,$48.00
3896,130792415,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,45,4.65,$24.00
8281,157746231,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$35.00
2551,9550754,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,16,4.44,$48.00
8437,251710733,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,10,4.8,$300.00
927,2151490,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,8,,1.5 baths,3.0,6.0,66,4.24,$201.00
9364,321273659,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,5,5.0,$64.00
12799,325879968,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,81,4.94,$49.00
1853,2108468,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,3,,1 bath,1.0,2.0,106,4.71,$100.00
12169,21873399,f,,Entire rental unit,Entire home/apt,5,,2 baths,2.0,4.0,1,5.0,$144.00
