,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
12403,441696184,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,1,5.0,$55.00
3706,32037490,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,147,4.49,$138.00
1430,9916442,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,19,4.72,$55.00
15748,373473142,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$39.00
2379,41180278,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,2 baths,3.0,4.0,71,4.92,$164.00
11928,428499979,f,,Room in hotel,Private room,2,,1 private bath,1.0,1.0,6,4.0,$76.00
15665,346367515,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,0,,$101.00
11699,35936647,f,,Entire rental unit,Entire home/apt,5,,1 bath,3.0,3.0,18,4.67,$128.00
573,3376710,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,4.0,5.0,0,,$49.00
13556,457389299,t,"Barcelona, Catalunya, Spain",Shared room in villa,Shared room,1,,1 shared bath,1.0,6.0,3,5.0,$20.00
13315,1310304,f,,Entire condo,Entire home/apt,3,,2 baths,2.0,2.0,0,,$63.00
8705,314125750,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,6,5.0,$35.00
9262,340736361,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,1,5.0,$20.00
13250,346367515,f,,Entire rental unit,Entire home/apt,5,,2 baths,3.0,3.0,1,1.0,$141.00
1520,396363,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,8,,2 baths,5.0,7.0,50,4.37,$205.00
11097,175128252,f,,Room in hotel,Private room,2,,1 private bath,1.0,1.0,0,,"$1,490.00"
12877,385734768,f,,Entire rental unit,Entire home/apt,6,,1.5 baths,3.0,4.0,1,5.0,$85.00
14165,21726991,f,,Entire rental unit,Entire home/apt,1,,1 bath,1.0,1.0,2,3.5,$70.00
8063,216022722,f,"Barcelona, Catalunya, Spain",Room in hotel,Private room,1,,1 private bath,1.0,1.0,0,,$85.00
4107,15738246,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,3,,1 shared bath,1.0,3.0,8,4.75,$40.00
274,2036118,t,,Entire rental unit,Entire home/apt,4,,2 baths,1.0,2.0,165,4.59,$88.00
10151,5264883,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,4,4.75,$97.00
3882,121825,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,2,5.0,$115.00
14062,252719184,f,,Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,5,3.6,$37.00
2928,299462,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,216,4.5,$84.00
4332,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,59,4.24,$180.00
7282,54310958,t,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,1 bath,2.0,3.0,4,4.5,$291.00
9681,158044084,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,0,,$30.00
1866,6227060,t,"Barcelona, Spain",Entire rental unit,Entire home/apt,14,,3 baths,5.0,7.0,293,4.76,$160.00
5915,9784103,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,22,4.45,$146.00
2943,75697967,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,63,4.92,$52.00
130,1267680,t,"Barcelona, Catalonia, Spain",Entire loft,Entire home/apt,3,,1 bath,1.0,2.0,162,4.78,$119.00
9152,333355801,f,"Barcelona, Catalunya, Spain",Room in hotel,Private room,2,,1 bath,1.0,1.0,15,4.87,$72.00
4231,36162001,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,21,4.79,$35.00
1770,362734677,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,230,4.82,$90.00
2008,23966581,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,258,4.85,$115.00
8799,318426506,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,3 baths,3.0,3.0,6,4.5,$102.00
1503,5488247,f,"Barcelona, CT, Spain",Private room in rental unit,Private room,2,,1 bath,1.0,1.0,31,4.48,$35.00
10119,308681334,f,"Barcelona, Catalunya, Spain",Shared room in hostel,Shared room,1,,0 shared baths,1.0,3.0,5,4.6,$20.00
2579,59640486,f,,Private room in rental unit,Private room,2,,2 baths,1.0,1.0,7,4.14,$35.00
4017,113020313,f,,Entire rental unit,Entire home/apt,9,,2 baths,3.0,5.0,19,3.89,$97.00
949,12152799,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,1,5.0,$101.00
12291,434205774,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,4,4.25,$105.00
4198,132596381,t,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,2 baths,1.0,1.0,12,4.92,$343.00
7110,35936647,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,60,4.67,$147.00
10028,299462,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,42,4.57,$128.00
7025,19620636,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,34,4.27,$30.00
13395,294265812,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$89.00
13575,129000409,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,10,4.6,$161.00
10796,4985749,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,2,4.5,$50.00
12043,346367515,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,0,,$103.00
2783,65195536,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,3.0,4.0,171,4.72,$165.00
8765,299462,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,1 bath,2.0,2.0,24,4.79,$76.00
6238,29493595,f,"Barcelona, Spain",Entire serviced apartment,Entire home/apt,4,,1 bath,1.0,1.0,332,4.73,$88.00
7586,168091065,t,,Entire serviced apartment,Entire home/apt,3,,1 bath,2.0,2.0,4,5.0,$73.00
14762,47171261,f,,Entire serviced apartment,Entire home/apt,4,,1 bath,1.0,2.0,1,5.0,$176.00
7955,277542833,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,28,4.18,$35.00
7465,52002521,t,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,125,4.82,$61.00
1376,131794,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,3.0,54,4.61,$116.00
12434,439642628,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,3,3.33,$99.00
7369,252806444,f,,Private room in rental unit,Private room,2,,1 shared bath,2.0,1.0,31,5.0,$55.00
15668,10704,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,0,,$70.00
9656,5843487,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1.5 baths,2.0,2.0,2,5.0,$45.00
11218,407850164,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1.5 baths,3.0,4.0,62,4.63,$74.00
7788,270258032,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,1 bath,2.0,3.0,13,4.62,$793.00
6336,157746231,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,8,,1.5 baths,3.0,6.0,34,4.03,$72.00
6388,223478478,f,,Private room in hostel,Private room,16,,6 baths,6.0,19.0,34,4.26,$496.00
1100,4064440,t,"Barcelona, Catalonia, Spain",Entire serviced apartment,Entire home/apt,6,,3 baths,3.0,5.0,261,4.79,$174.00
15582,488100171,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,0,,$66.00
6235,28060433,f,"Barcelona, CT, Spain",Private room in vacation home,Private room,1,,1 shared bath,1.0,1.0,1,1.0,$120.00
5827,50257816,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,22,4.82,$16.00
7909,1310304,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,3.0,4.0,1,5.0,$85.00
3406,5752297,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,60,4.8,$43.00
15000,4459553,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,0,,$95.00
14537,416647117,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,10,4.9,$35.00
15443,346367515,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$142.00
9138,24720568,f,"Barcelona, Catalunya, Spain",Private room in guest suite,Private room,2,,1 private bath,1.0,1.0,0,,$35.00
11996,7202104,f,,Entire loft,Entire home/apt,2,,1 bath,1.0,1.0,0,,$46.00
2570,54320669,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,10,,2.5 baths,4.0,7.0,117,4.47,$216.00
1193,1744516,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,6,,2 baths,2.0,3.0,25,4.48,$71.00
10076,308683001,f,"Barcelona, Catalunya, Spain",Private room in hostel,Private room,8,,0 shared baths,1.0,4.0,4,4.75,$180.00
5222,1744516,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,32,4.53,$109.00
652,6541786,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,2.0,402,4.58,$25.00
9286,263406860,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,8,,2 baths,3.0,7.0,42,4.76,"$1,000.00"
4816,6099660,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,3.0,63,4.22,$88.00
14727,391808582,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,2,5.0,$40.00
9673,265147782,f,"Barcelona, Catalunya, Spain",Entire condo,Entire home/apt,2,,1 bath,,1.0,0,,$36.00
11474,394270439,f,,Entire rental unit,Entire home/apt,10,,4 baths,4.0,7.0,38,4.11,$450.00
12516,22076771,t,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,5,5.0,$70.00
5206,170964222,f,,Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,6,5.0,$90.00
3297,4459553,f,"BARCELONA, city, Spain",Entire rental unit,Entire home/apt,5,,1 bath,3.0,5.0,99,4.16,$201.00
9553,22299453,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,,5,3.6,$41.00
6054,202748902,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,5,5.0,$45.00
13849,21570473,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,0,,$100.00
12923,38490401,f,,Entire guest suite,Entire home/apt,2,,1 bath,1.0,2.0,4,4.75,$35.00
9212,339889754,f,,Private room in rental unit,Private room,3,,1 shared bath,1.0,2.0,1,4.0,$60.00
6599,193820788,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,6,,1 bath,2.0,4.0,110,4.3,$115.00
9709,33278356,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,110,4.26,$177.00
5791,48645551,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,423,4.17,$66.00
7067,249815511,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$95.00
862,4335452,t,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,3.0,97,4.82,$90.00
2477,67353,f,"Barcelona, Catalunya, Spain",Private room in loft,Private room,2,,1 bath,1.0,1.0,97,4.45,$76.00
8638,303063652,f,"Barcelona, Catalunya, Spain",Entire guesthouse,Entire home/apt,3,,1 bath,1.0,2.0,1,5.0,$90.00
14053,447375626,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,2 baths,2.0,2.0,0,,$152.00
9122,89096398,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,3,5.0,$55.00
14432,396363,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,5.0,0,,$155.00
673,9478280,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,47,4.51,$157.00
12086,346367515,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,0,,$130.00
12285,212431311,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,42,4.14,$68.00
14974,294265812,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$47.00
11047,54820821,f,,Entire rental unit,Entire home/apt,6,,1 bath,3.0,4.0,2,4.0,$777.00
15700,100663057,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,0,,$90.00
6534,227683945,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$50.00
347,567180,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,8,,1.5 baths,5.0,6.0,73,4.73,$332.00
2126,40316585,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,243,4.81,$116.00
6439,22131644,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,12,4.67,$32.00
1366,20790978,f,,Entire rental unit,Entire home/apt,10,,2 baths,3.0,6.0,61,4.1,$300.00
14509,470038216,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,5,,2 baths,2.0,2.0,11,4.91,$130.00
12083,170513081,f,,Entire rental unit,Entire home/apt,2,,2 baths,1.0,2.0,25,4.28,$105.00
6587,26906142,t,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,9,4.56,$31.00
9900,250042982,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,3.0,4.0,29,4.38,$145.00
14088,4212095,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,3.0,3.0,6,4.83,$92.00
2523,59010790,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,1,5.0,$108.00
10484,371760227,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,19,4.95,$134.00
12053,148946579,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,3,4.67,$65.00
4011,113020313,f,,Entire rental unit,Entire home/apt,5,,1 bath,3.0,4.0,18,4.11,$94.00
3341,6704037,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,6.0,2,5.0,$180.00
1669,2151490,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,12,,4 baths,4.0,8.0,45,4.73,$551.00
1728,5987148,f,"Barcelona, Spain",Private room in rental unit,Private room,2,,2 baths,1.0,1.0,0,,$80.00
1518,25355573,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,172,4.62,$92.00
6155,209872731,f,,Room in hotel,Hotel room,1,,1 bath,1.0,1.0,2,5.0,$92.00
5247,28043451,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,43,4.6,$149.00
3754,121674827,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,5,4.5,$87.00
3453,32037490,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,9,,2 baths,4.0,5.0,142,4.75,$180.00
7625,273274914,f,"Barcelona, Catalunya, Spain",Shared room in rental unit,Shared room,2,,1.5 shared baths,1.0,1.0,24,4.71,$35.00
5608,54820821,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,42,4.52,$77.00
13725,45484342,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,27,4.44,$71.00
9164,333092064,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,39,4.85,$256.00
6122,160049842,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,2 shared baths,1.0,1.0,0,,$90.00
15659,316386747,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,0,,$16.00
13424,327616183,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,0,,"$2,000.00"
7755,274419996,f,,Room in boutique hotel,Hotel room,4,,1 bath,1.0,1.0,0,,$144.00
2289,35712072,f,"Barcelona, Catalunya, Spain",Entire home,Entire home/apt,2,,1 bath,1.0,1.0,263,4.6,$115.00
13348,299462,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,,1.0,18,4.72,$84.00
2686,5543127,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,171,4.61,$100.00
1521,3744544,t,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,142,4.64,$75.00
14775,864084,t,,Entire rental unit,Entire home/apt,2,,1 bath,,1.0,1,5.0,$50.00
3653,33600854,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 private bath,1.0,1.0,0,,$100.00
7239,256448711,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,3,,2 shared baths,1.0,3.0,12,3.92,$120.00
1310,3041368,f,,Private room in bed and breakfast,Private room,3,,1 bath,1.0,3.0,8,3.71,$94.00
6565,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,5,,2 baths,3.0,4.0,52,4.37,$155.00
12962,351328829,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,1 bath,3.0,4.0,2,5.0,$90.00
12767,4903844,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,0,,$50.00
3790,114164260,t,,Entire rental unit,Entire home/apt,5,,2 baths,3.0,4.0,28,4.86,$220.00
4024,7039660,t,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,6,5.0,$101.00
13757,398136693,f,,Room in hotel,Private room,1,,Shared half-bath,1.0,1.0,11,3.55,$60.00
8309,183340,f,,Entire rental unit,Entire home/apt,6,,2 baths,3.0,4.0,4,3.75,$300.00
12836,9477063,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,4,4.75,$71.00
3301,22515348,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$150.00
12075,335838676,f,"Barcelona, Catalunya, Spain",Entire guesthouse,Entire home/apt,2,,1 bath,1.0,1.0,5,4.0,$39.00
8490,212838475,f,"Barcelona, Catalunya, Spain",Private room in home,Private room,1,,1.5 shared baths,1.0,3.0,0,,$40.00
8882,324651502,t,"Barcelona, CT, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,12,4.75,$90.00
6846,3558883,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,1.0,5.0,1,5.0,$48.00
6844,396363,f,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,26,3.88,$131.00
3124,43565515,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,4,4.25,$266.00
4944,1391607,f,,Entire rental unit,Entire home/apt,3,,1 bath,2.0,2.0,29,4.11,$62.00
6713,26059902,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,2,5.0,$50.00
1277,14530430,f,"Barcelona, Catalonia, Spain",Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,115,4.5,$20.00
15157,461185745,f,"Barcelona, Catalunya, Spain",Entire condo,Entire home/apt,3,,1 bath,1.0,1.0,0,,$500.00
13371,238724735,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,9,4.56,$129.00
8082,1391607,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,29,4.0,$76.00
9595,59223335,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,2.0,3.0,26,4.81,$107.00
13146,220918313,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,3,5.0,$50.00
4939,161380107,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,5.0,26,4.58,$97.00
15204,178392708,f,,Entire serviced apartment,Entire home/apt,4,,2 baths,2.0,2.0,4,5.0,$127.00
8840,14216613,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,1 bath,3.0,4.0,107,4.6,$83.00
7243,1525629,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,0,,$200.00
1516,4985749,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,14,,3 baths,6.0,14.0,145,4.56,$262.00
6043,98330509,f,,Room in serviced apartment,Hotel room,3,,1 bath,1.0,2.0,3,4.0,$104.00
7281,54310958,t,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,4,,2 baths,2.0,2.0,16,5.0,$273.00
1030,14468329,t,"Barcelona, Katalonien, Spain",Entire rental unit,Entire home/apt,3,,1 bath,1.0,2.0,330,4.87,$78.00
4114,128959838,f,,Entire rental unit,Entire home/apt,10,,2 baths,4.0,7.0,22,4.5,$325.00
13510,731009,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,2,4.0,$63.00
1597,3123210,t,"Barcelona, CT, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,166,4.87,$160.00
7573,89640148,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,9,4.44,$96.00
11191,175128252,f,,Room in aparthotel,Entire home/apt,2,,1 bath,1.0,1.0,0,,"$1,490.00"
6458,222058736,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,22,4.55,$71.00
3603,27939636,f,,Entire condo,Entire home/apt,6,,2 baths,2.0,4.0,0,,$200.00
14226,264278568,f,,Boat,Entire home/apt,6,,2 baths,3.0,3.0,4,4.5,$99.00
13830,328386510,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,7,3.71,$45.00
7182,255365195,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,4,,2 baths,2.0,2.0,4,5.0,$100.00
281,1744516,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,1.0,1.0,29,4.43,$85.00
15231,477846106,f,,Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,4,4.25,$32.00
7476,9171437,f,"Barcelona, Catalunya, Spain",Shared room in hostel,Shared room,1,,5 shared baths,1.0,1.0,1476,4.45,$18.00
5144,491007,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,3,,1 bath,2.0,4.0,144,4.1,$30.00
3391,29655256,f,,Private room in rental unit,Private room,2,,1 bath,1.0,1.0,2,0.0,$23.00
2901,69395559,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,7,,3 baths,4.0,4.0,65,4.74,$224.00
13682,282338161,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,3.0,22,4.55,$68.00
13594,4459553,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,5.0,19,4.32,$788.00
4304,38319904,f,,Private room in rental unit,Private room,2,,2.5 shared baths,1.0,1.0,0,,$39.00
5173,174751009,f,,Entire rental unit,Entire home/apt,5,,1 bath,2.0,2.0,102,4.66,$111.00
129,1267680,t,,Entire rental unit,Entire home/apt,4,,1 bath,1.0,2.0,187,4.71,$122.00
13372,2439400,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,7,3.57,$132.00
9089,331983258,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1.5 shared baths,1.0,1.0,25,4.64,$62.00
7314,15802369,t,"Barcelona, Spain",Entire loft,Entire home/apt,4,,1 bath,2.0,3.0,17,4.94,$65.00
1782,1862747,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,2,,1 bath,1.0,1.0,0,,$110.00
2223,27573426,f,,Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,13,4.38,$47.00
8665,309656956,t,"Barcelona, Catalunya, Spain",Room in boutique hotel,Private room,2,,1 private bath,1.0,1.0,137,4.63,$89.00
1387,2509252,f,"Barcelona, Catalonia, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,4.0,195,4.42,$109.00
10387,371891676,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,2,,1 bath,1.0,1.0,165,4.67,$104.00
3382,102232639,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,2.0,5.0,141,4.89,$270.00
11423,413276114,f,,Room in hotel,Private room,2,,1 private bath,,1.0,0,,$307.00
5345,173565512,f,,Private room in rental unit,Private room,1,,1 shared bath,,1.0,2,5.0,$30.00
14392,2219276,f,,Entire rental unit,Entire home/apt,4,,1 bath,2.0,2.0,5,5.0,$275.00
14595,472868939,f,,Private room in bed and breakfast,Private room,2,,1.5 shared baths,1.0,1.0,5,4.6,$96.00
15142,472170668,f,,Entire condo,Entire home/apt,4,,1 bath,1.0,1.0,0,,$104.00
10031,3041368,f,,Shared room in hostel,Shared room,2,,2 shared baths,1.0,16.0,0,,$26.00
2697,63198399,f,,Entire rental unit,Entire home/apt,6,,1 bath,3.0,4.0,69,4.46,$100.00
4813,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,5,,1 bath,2.0,4.0,59,4.36,$150.00
13611,1391607,f,,Entire rental unit,Entire home/apt,4,,2 baths,2.0,3.0,18,3.78,$76.00
9522,340466110,f,,Room in hotel,Private room,2,,1 private bath,1.0,1.0,1,5.0,"$9,200.00"
8926,329237362,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,6,,1 bath,2.0,4.0,80,4.66,$117.00
5141,167164715,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,0,,$70.00
12042,161003517,f,,Private room in rental unit,Private room,1,,1 private bath,1.0,1.0,1,5.0,$45.00
7401,15789938,f,,Entire rental unit,Entire home/apt,2,,1 bath,2.0,2.0,0,,$74.00
1209,16543560,f,,Private room in rental unit,Private room,4,,1 bath,1.0,4.0,0,,$86.00
4108,131794,t,,Entire rental unit,Entire home/apt,8,,2 baths,3.0,3.0,110,4.86,$109.00
4902,158023606,f,"Barcelona, Spain",Entire rental unit,Entire home/apt,4,,1 bath,2.0,3.0,18,4.67,$101.00
12445,433523272,f,"Barcelona, Catalunya, Spain",Entire serviced apartment,Entire home/apt,8,,1 bath,3.0,6.0,23,4.52,$128.00
