host_is_superhost,neighbourhood_group_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,number_of_reviews,price
f,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,2,$66.00
f,Ciutat Vella,Private room in hostel,Private room,3,1 shared bath,1.0,,3,$128.00
f,Les Corts,Entire condo,Entire home/apt,6,2 baths,4.0,6.0,0,$88.00
f,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,4.0,218,$106.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,2,$105.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,0,$150.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,12,1.5 baths,2.0,10.0,1,$70.00
f,Eixample,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,115,$300.00
f,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,2.0,2.0,0,$95.00
t,Sants-Montjuïc,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,292,$96.00
f,Les Corts,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,0,$130.00
f,Eixample,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,5,$132.00
f,Sant Martí,Entire rental unit,Entire home/apt,4,2 baths,3.0,3.0,44,$291.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,0,$100.00
f,Eixample,Entire rental unit,Entire home/apt,7,2 baths,4.0,4.0,68,$224.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,6,$63.00
t,Les Corts,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,14,$30.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,2 baths,1.0,1.0,0,$93.00
f,Gràcia,Entire rental unit,Entire home/apt,3,1 bath,2.0,2.0,59,$83.00
f,Eixample,Entire rental unit,Entire home/apt,10,3 baths,5.0,10.0,11,$480.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,6,$75.00
f,Eixample,Entire serviced apartment,Entire home/apt,4,1 bath,2.0,3.0,0,$110.00
f,Gràcia,Private room in rental unit,Private room,2,11 shared baths,1.0,1.0,0,$32.00
f,Sarrià-Sant Gervasi,Entire rental unit,Entire home/apt,5,1 bath,2.0,3.0,1,$92.00
f,Ciutat Vella,Private room in rental unit,Private room,5,1 private bath,2.0,4.0,161,$90.00
f,Gràcia,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,75,$90.00
t,Eixample,Private room in rental unit,Private room,1,2 baths,1.0,1.0,122,$30.00
t,Eixample,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,74,$120.00
f,Sants-Montjuïc,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,3,$29.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,1,$59.00
f,Eixample,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,0,$25.00
f,Sants-Montjuïc,Private room in loft,Private room,4,1 private bath,1.0,2.0,107,$50.00
f,Eixample,Room in hotel,Private room,4,2 baths,2.0,2.0,6,$112.00
f,Horta-Guinardó,Private room in home,Private room,2,1 private bath,1.0,1.0,2,$61.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,3,2 baths,3.0,3.0,0,$39.00
f,Ciutat Vella,Room in hotel,Private room,2,1 private bath,1.0,2.0,320,$83.00
f,Eixample,Private room in rental unit,Private room,1,1.5 shared baths,1.0,1.0,6,$20.00
f,Horta-Guinardó,Entire rental unit,Entire home/apt,5,1 bath,3.0,4.0,4,$70.00
t,Eixample,Entire rental unit,Entire home/apt,5,2 baths,2.0,2.0,31,$160.00
f,Sants-Montjuïc,Entire rental unit,Entire home/apt,5,1 bath,3.0,4.0,6,$103.00
f,Eixample,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,10,$25.00
f,Sant Martí,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,31,$42.00
f,Ciutat Vella,Entire loft,Entire home/apt,3,1 bath,1.0,2.0,5,$99.00
f,Gràcia,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,3,$49.00
f,Eixample,Entire rental unit,Entire home/apt,6,2 baths,3.0,6.0,5,$100.00
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,2.0,419,$88.00
f,Gràcia,Entire rental unit,Entire home/apt,8,1.5 baths,2.0,5.0,33,$120.00
f,Gràcia,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,2.0,16,$113.00
f,Eixample,Entire rental unit,Entire home/apt,4,2 baths,1.0,2.0,37,$112.00
t,Sants-Montjuïc,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,120,$150.00
f,Eixample,Room in boutique hotel,Private room,4,1.5 baths,1.0,3.0,2,$166.00
t,Les Corts,Entire condo,Entire home/apt,5,2.5 baths,3.0,4.0,1,$125.00
f,Eixample,Private room in condo,Private room,2,1 shared bath,1.0,1.0,0,$50.00
f,Eixample,Private room in hostel,Private room,4,1 shared bath,1.0,4.0,12,$113.00
f,Eixample,Private room in hostel,Private room,3,5 shared baths,1.0,1.0,13,$72.00
f,Sarrià-Sant Gervasi,Room in boutique hotel,Private room,2,1 bath,1.0,1.0,0,"$9,026.00"
f,Eixample,Entire rental unit,Entire home/apt,5,1 bath,2.0,4.0,251,$64.00
f,Eixample,Entire rental unit,Entire home/apt,5,3 baths,3.0,5.0,11,$199.00
f,Sants-Montjuïc,Entire condo,Entire home/apt,5,1 bath,2.0,4.0,24,$57.00
t,Horta-Guinardó,Entire rental unit,Entire home/apt,8,3 baths,4.0,5.0,64,$164.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,4,1 bath,2.0,4.0,0,$91.00
f,Horta-Guinardó,Entire rental unit,Entire home/apt,2,1 bath,,1.0,0,$149.00
f,Eixample,Entire rental unit,Entire home/apt,6,1 bath,2.0,6.0,74,$89.00
t,Sants-Montjuïc,Entire loft,Entire home/apt,1,1 bath,,2.0,450,$54.00
t,Eixample,Private room in rental unit,Private room,2,2 shared baths,1.0,1.0,217,$40.00
f,Ciutat Vella,Room in boutique hotel,Private room,2,1 shared bath,,1.0,0,$204.00
f,Ciutat Vella,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,2,$50.00
t,Gràcia,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,138,$72.00
f,Sants-Montjuïc,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,89,$37.00
f,Eixample,Entire serviced apartment,Entire home/apt,2,1 bath,,1.0,56,$102.00
f,Ciutat Vella,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,3,$73.00
t,Eixample,Private room in rental unit,Private room,1,2 baths,2.0,1.0,135,$53.00
